阿	tzk· 阝可 ·a
㘭	giae· 土幺㇆ ·ao
㜜	baph· 女龶攵 ·ao
㜩	btmm· 女丿冂米大 ·ao
㟼	vaph· 山龶攵 ·ao
㠂	vaph· 山龶攵 ·ao
㠗	vtmm· 山丿冂米大 ·ao
㤇	htmd· 忄丿大 ·ao
㥿	aphh· 龶攵心 ·ao
㿰	abrp· 六乂皮 ·ao
䁱	qggp· 目土土土一儿 ·ao
䐿	vtmm· 月丿冂米大 ·ao
䚫	ulht· 白方攵⺈用 ·ao
䜒	stmm· 言丿冂米大 ·ao
䞝	pnid· 走王丶 ·ao
䥝	zxvb· 金鹿匕 ·ao
䦋	paph· 镸龶攵 ·ao
䫨	aphw· 龶攵頁 ·ao
䮯	naph· 馬龶攵 ·ao
䯠	foam· 骨日皿 ·ao
䴈	tmpx· 丿冂米大鳥 ·ao
䵅	aphh· 龶攵木人人夂 ·ao
吧	dmb· 口巴 ·ba
把	umb· 扌巴 ·ba
爸	hbmb· 八乂巴 ·ba
八	hb· 八 ·ba
巴	mb· 巴 ·ba
坝	gob· 土贝 ·ba
拔	unri· 扌𠂇又丶 ·ba
罢	ygks· 罒土厶 ·ba
霸	ttvy· ⻗革月 ·ba
扒	uhb· 扌八 ·ba
叭	dhb· 口八 ·ba
靶	tmb· 革巴 ·ba
芭	lmb· 艹巴 ·ba
跋	pnri· ⻊𠂇又丶 ·ba
岜	vmb· 山巴 ·ba
疤	amb· 疒巴 ·ba
灞	kttv· 氵⻗革月 ·ba
笆	rmb· ⺮巴 ·ba
粑	pmb· 米巴 ·ba
捌	udsp· 扌口力刂 ·ba
耙	amb· 耒巴 ·ba
茇	lnri· 艹𠂇又丶 ·ba
鲅	wnri· 鱼𠂇又丶 ·ba
魃	anri· 鬼𠂇又丶 ·ba
菝	luni· 艹扌𠂇又丶 ·ba
钯	zmb· 钅巴 ·ba
鲃	wmb· 鱼巴 ·ba
鲌	wub· 鱼白 ·ba
蚆	cmb· 虫巴 ·ba
胈	vnri· 月𠂇又丶 ·ba
羓	gmb· ⺶巴 ·ba
罷	ykvv· 罒厶⺝匕 ·ba
覇	vtvy· 覀革月 ·ba
紦	imb· 糹巴 ·ba
詙	snri· 言𠂇又丶 ·ba
矲	oykv· 矢罒厶⺝匕 ·ba
豝	jmb· 豕巴 ·ba
癹	hrs· 癶殳 ·ba
跁	pmb· ⻊巴 ·ba
玐	nhb· 王八 ·ba
犮	nrid· 𠂇又丶 ·ba
炦	cnri· 火𠂇又丶 ·ba
軷	ynri· 車𠂇又丶 ·ba
欛	ettv· 木⻗革月 ·ba
釛	zsl· 金力 ·ba
釟	zhb· 金八 ·ba
鈀	zmb· 金巴 ·ba
柭	enri· 木𠂇又丶 ·ba
朳	ehb· 木八 ·ba
弝	bmb· 弓巴 ·ba
峇	vjdk· 山亼口 ·ba
颰	otci· ⺇丿虫𠂇又丶 ·ba
妭	bnri· 女𠂇又丶 ·ba
夿	mmb· 大巴 ·ba
壩	gttv· 土⻗革月 ·ba
墢	ghbr· 土癶弓殳 ·ba
垻	gob· 土貝 ·ba
坺	gnri· 土𠂇又丶 ·ba
鮁	wnri· 魚𠂇又丶 ·ba
鮊	wub· 魚白 ·ba
哵	ddsp· 口口力刂 ·ba
叐	tnry· 丿𠂇又 ·ba
鼥	pnri· 鼠𠂇又丶 ·ba
仈	jhb· 亻八 ·ba
丷	hb· 丷 ·ba
白	ub· 白 ·bai
百	fub· 一白 ·bai
拜	ufaf· 龵一丰 ·bai
摆	uygk· 扌罒土厶 ·bai
败	ohp· 贝攵 ·bai
掰	uhpu· 龵八刀手 ·bai
呗	dob· 口贝 ·bai
佰	jfub· 亻一白 ·bai
柏	eub· 木白 ·bai
稗	xutn· 禾白丿十 ·bai
伯	jub· 亻白 ·bai
捭	uutn· 扌白丿十 ·bai
薭	lxun· 艹禾白丿十 ·bai
襬	tykv· 衤罒厶⺝匕 ·bai
絔	ifub· 糹一白 ·bai
粺	putn· 米白丿十 ·bai
粨	pfub· 米一白 ·bai
竡	ifub· 立一白 ·bai
贁	oohp· 貝貝攵 ·bai
猈	mutn· 犭白丿十 ·bai
栢	efub· 木一白 ·bai
敗	ohp· 貝攵 ·bai
擺	uykv· 扌罒厶⺝匕 ·bai
挀	uxti· 扌⺁ ·bai
拝	ufaf· 扌一丰 ·bai
韛	gltt· 韋龷丿 ·bai
唄	dob· 口貝 ·bai
办	shb· 力八 ·ban
班	npnw· 王王 ·ban
半	hus· 丷 ·ban
版	axry· 片⺁又 ·ban
搬	uirs· 扌舟殳 ·ban
般	irs· 舟殳 ·ban
板	exry· 木⺁又 ·ban
伴	jhus· 亻丷 ·ban
扳	uxry· 扌⺁又 ·ban
坂	gxry· 土⺁又 ·ban
斑	nvnw· 王文王 ·ban
颁	hpwy· 八刀页 ·ban
拌	uhus· 扌丷 ·ban
瓣	nynx· 瓜辛 ·ban
绊	ihus· 纟丷 ·ban
扮	uhpd· 扌八刀 ·ban
阪	txry· 阝⺁又 ·ban
钣	zxry· 钅⺁又 ·ban
舨	ixry· 舟⺁又 ·ban
瘢	airs· 疒舟殳 ·ban
癍	anvn· 疒王文王 ·ban
览	prej· 〢见 ·ban
靽	thus· 革丷 ·ban
蝂	caxr· 虫片⺁又 ·ban
螌	ircc· 舟殳虫 ·ban
肦	vhpd· ⺼八刀 ·ban
褩	irti· 舟殳衣 ·ban
覂	vtri· 覀丿之 ·ban
絆	ihus· 糹丷 ·ban
粄	pxry· 米⺁又 ·ban
籓	rktq· ⺮氵丿米田 ·ban
秚	xhus· 禾丷 ·ban
瓪	rxry· 瓦⺁又 ·ban
跘	phus· ⻊丷 ·ban
湴	khcy· 氵䒑业 ·ban
辦	nsnx· 力辛 ·ban
辬	nvnx· 文辛 ·ban
鈑	zxry· 金⺁又 ·ban
鉡	zhus· 金丷 ·ban
柈	ehus· 木丷 ·ban
朌	vhpd· 月八刀 ·ban
昄	oxry· 日⺁又 ·ban
斒	vmic· 文户 ·ban
攽	hphp· 八刀攵 ·ban
闆	addd· 門口口口 ·ban
怑	hhus· 忄丷 ·ban
頒	hpwy· 八刀頁 ·ban
岅	vxry· 山⺁又 ·ban
姅	bhus· 女丷 ·ban
埿	kcvg· 氵尸匕土 ·ban
坢	ghus· 土丷 ·ban
魬	wxry· 魚⺁又 ·ban
鳻	hpxn· 八刀鳥 ·ban
帮	atrj· 阝巾 ·bang
棒	eaiu· 木㇏ ·bang
榜	eiwl· 木冖方 ·bang
傍	jiwl· 亻冖方 ·bang
绑	iate· 纟阝 ·bang
邦	ate· 阝 ·bang
镑	ziwl· 钅冖方 ·bang
磅	miwl· 石冖方 ·bang
浜	kthb· 氵 ·bang
蚌	caf· 虫丰 ·bang
梆	eate· 木阝 ·bang
谤	siwl· 讠冖方 ·bang
膀	viwl· 月冖方 ·bang
蒡	liwl· 艹冖方 ·bang
搒	uiwl· 扌冖方 ·bang
蚄	clf· 虫方 ·bang
蛖	coes· 虫尤彡 ·bang
蜯	caiu· 虫㇏ ·bang
艕	iiwl· 舟冖方 ·bang
縍	iiwl· 糹冖方 ·bang
綁	iate· 糹阝 ·bang
紡	ilf· 糹方 ·bang
稖	xidk· 禾立口 ·bang
謗	siwl· 言冖方 ·bang
硥	moes· 石尤彡 ·bang
玤	naf· 王丰 ·bang
牓	aiwl· 片冖方 ·bang
濱	kwfo· 氵宀一貝 ·bang
邫	admb· 口巴 ·bang
棓	eidk· 木立口 ·bang
鎊	ziwl· 金冖方 ·bang
捠	uthb· 扌 ·bang
挷	uate· 扌阝 ·bang
徬	wiwl· 彳冖方 ·bang
鞤	ggkt· 土土寸革 ·bang
幫	ggkr· 土土寸白巾 ·bang
幚	atur· 阝白巾 ·bang
幇	ggkr· 土土寸巾 ·bang
崗	vmhv· 山冂䒑山 ·bang
塝	giwl· 土冖方 ·bang
埲	gaiu· 土㇏ ·bang
垹	gate· 土阝 ·bang
髈	fiwl· 骨冖方 ·bang
包	nvs· 勹巳 ·bao
报	uzry· 扌卩又 ·bao
宝	wnid· 宀王丶 ·bao
抱	unvs· 扌勹巳 ·bao
保	jdem· 亻口木 ·bao
饱	qnvs· 饣勹巳 ·bao
堡	jdeg· 亻口木土 ·bao
薄	lknk· 艹氵甫寸 ·bao
鲍	wnvs· 鱼勹巳 ·bao
爆	colk· 火日龷八氺 ·bao
葆	ljde· 艹亻口木 ·bao
暴	olhk· 日龷八氺 ·bao
豹	mnid· 豸勹丶 ·bao
瀑	kolk· 氵日龷八氺 ·bao
胞	vnvs· 月勹巳 ·bao
剥	bkpd· 氺刂 ·bao
褒	tjde· 衣亻口木 ·bao
苞	lnvs· 艹勹巳 ·bao
雹	tnvs· ⻗勹巳 ·bao
孢	hnvs· 子勹巳 ·bao
煲	jdec· 亻口木火 ·bao
刨	nvpd· 勹巳刂 ·bao
曝	oolk· 日日龷八氺 ·bao
炮	cnvs· 火勹巳 ·bao
褓	tjde· 衤亻口木 ·bao
鸨	vnxn· 匕十鸟 ·bao
趵	pnid· ⻊勹丶 ·bao
龅	lnvs· 齿勹巳 ·bao
宀	wg· 宀 ·bao
勹	nk· 勹 ·bao
蕔	lggr· 艹土卩又 ·bao
藵	ljdt· 艹亻口木衣 ·bao
菢	lunv· 艹扌勹巳 ·bao
虣	fpsz· 一弋止虎 ·bao
蚫	cnvs· 虫勹巳 ·bao
袌	tnvs· 衣勹巳 ·bao
裦	tuit· 衣予丿 ·bao
襃	tude· 衣口木 ·bao
緥	ijde· 糹亻口木 ·bao
笣	rnvs· ⺮勹巳 ·bao
窇	envs· 穴勹巳 ·bao
賲	jdeo· 亻口木貝 ·bao
珤	naf· 王缶 ·bao
鉋	znvs· 金勹巳 ·bao
枹	envs· 木勹巳 ·bao
曓	osmf· 日屮凵大木一 ·bao
鑤	zolk· 金日龷八氺 ·bao
铇	znvs· 钅勹巳 ·bao
闁	aam· 門門 ·bao
怉	hnvs· 忄勹巳 ·bao
忁	wosk· 彳日屮凵大氺 ·bao
靌	twno· ⻗宀王小貝 ·bao
靤	bnvs· 面勹巳 ·bao
寶	wnao· 宀王缶貝 ·bao
寳	wnxo· 宀王小貝 ·bao
寚	wnaf· 宀王缶 ·bao
宲	wdem· 宀口木 ·bao
飹	qbm· 飠卯 ·bao
飽	qnvs· 飠勹巳 ·bao
媬	bjde· 女亻口木 ·bao
駂	vnnm· 匕十馬 ·bao
報	ggzr· 土卩又 ·bao
堢	gjde· 土亻口木 ·bao
骲	fnvs· 骨勹巳 ·bao
髱	penv· 镸彡勹巳 ·bao
鮑	wnvs· 魚勹巳 ·bao
鳵	anxn· ⺄十鳥 ·bao
鴇	vnxn· 匕十鳥 ·bao
勽	njr· 勹人 ·bao
剝	bkpd· 彑氺刂 ·bao
儤	jolk· 亻日龷八氺 ·bao
佨	jnvs· 亻勹巳 ·bao
齙	lnvs· 齒勹巳 ·bao
被	trp· 衤皮 ·bei
呗	dob· 口贝 ·bei
背	avvy· 匕⺝ ·bei
北	avb· 匕 ·bei
倍	jidk· 亻立口 ·bei
杯	ecb· 木不 ·bei
备	hqt· 夂田 ·bei
贝	ob· 贝 ·bei
碑	mutn· 石白丿十 ·bei
悲	rhx· 非心 ·bei
辈	ryc· 非车 ·bei
蓓	ljid· 艹亻立口 ·bei
卑	utns· 白丿十 ·bei
悖	hnwh· 忄十冖子 ·bei
钡	zob· 钅贝 ·bei
陂	trp· 阝皮 ·bei
碚	midk· 石立口 ·bei
焙	cidk· 火立口 ·bei
狈	mob· 犭贝 ·bei
孛	nwhi· 十冖子 ·bei
惫	hqhx· 夂田心 ·bei
臂	cdnv· 尸口辛⺝ ·bei
褙	tavv· 衤匕⺝ ·bei
鹎	utnx· 白丿十鸟 ·bei
邶	avte· 匕阝 ·bei
鞴	tltt· 革龷丿 ·bei
鐾	cdnz· 尸口辛金 ·bei
椑	eutn· 木白丿十 ·bei
鞁	trp· 革皮 ·bei
藣	lykv· 艹罒厶⺝匕 ·bei
萯	lxob· 艹⺈貝 ·bei
蛽	cob· 虫貝 ·bei
苝	lavb· 艹匕 ·bei
襬	tykv· 衤罒厶⺝匕 ·bei
糒	pltt· 米龷丿 ·bei
箄	rutn· ⺮白丿十 ·bei
誖	snwh· 言十冖子 ·bei
禙	favv· 礻匕⺝ ·bei
盃	cam· 不皿 ·bei
貝	ob· 貝 ·bei
琲	nrf· 王非 ·bei
珼	nob· 王貝 ·bei
狽	mob· 犭貝 ·bei
犕	qltt· 牜龷丿 ·bei
牬	qtf· 牜𠂔 ·bei
軰	avyc· 匕車 ·bei
輩	ryc· 非車 ·bei
鄁	avvt· 匕⺝阝 ·bei
棑	erf· 木非 ·bei
梖	eob· 木貝 ·bei
桮	ecdk· 木不口 ·bei
鉳	zavb· 金匕 ·bei
柸	ecfi· 木不一 ·bei
杮	efrj· 木一巾 ·bei
鋇	zob· 金貝 ·bei
昁	ofrj· 日一巾 ·bei
揹	uavv· 扌匕⺝ ·bei
鐴	zcdn· 金尸口辛 ·bei
