阿	tzk· 阝可 ·a
骠	nvfs· 马覀示 ·piao
莩	lyhi· 艹爫子 ·piao
髟	pes· 镸彡 ·piao
薸	lkvf· 艹氵覀示 ·piao
蔈	lvfs· 艹覀示 ·piao
翲	vfzv· 覀示羽 ·piao
縹	ivfs· 糹覀示 ·piao
篻	rvfs· ⺮覀示 ·piao
謤	svfs· 言覀示 ·piao
皫	uxch· 白鹿灬 ·piao
犥	qxch· 牜鹿灬 ·piao
醥	yvfs· 酉覀示 ·piao
旚	levf· 方𠂉覀示 ·piao
慓	hvfs· 忄覀示 ·piao
闝	aohp· 門貝攵 ·piao
徱	wvfs· 彳覀示 ·piao
彯	vfes· 覀示彡 ·piao
顠	vfwy· 覀示頁 ·piao
飃	otcf· ⺇丿虫覀示 ·piao
飄	vfoc· 覀示⺇丿虫 ·piao
驃	nvfs· 馬覀示 ·piao
驫	nnnm· 馬馬馬 ·piao
骉	nnnm· 马马马 ·piao
魒	avfs· 鬼覀示 ·piao
勡	vfsl· 覀示力 ·piao
僄	jvfs· 亻覀示 ·piao
撇	ufhp· 扌㡀攵 ·pie
瞥	fhqm· 㡀攵目 ·pie
丿	tp· 丿 ·pie
苤	lcfi· 艹不一 ·pie
氕	vtp· 气丿 ·pie
覕	htej· 心丿見 ·pie
潎	kfhp· 氵㡀攵 ·pie
暼	fhor· 㡀攵日 ·pie
撆	fhus· 㡀攵手 ·pie
鐅	fhzj· 㡀攵金 ·pie
嫳	fhbn· 㡀攵女 ·pie
品	dddk· 口口口 ·pin
拼	uhlc· 扌䒑廾 ·pin
贫	hpob· 八刀贝 ·pin
拚	uklc· 扌厶廾 ·pin
聘	qdfa· 耳由一ㄅ ·pin
频	sswy· 止页 ·pin
颦	sswn· 止页白丿十 ·pin
嫔	bwth· 女宀 ·pin
榀	eddd· 木口口口 ·pin
姘	bhlc· 女䒑廾 ·pin
牝	qvb· 牜匕 ·pin
薲	lwfo· 艹宀一貝 ·pin
蘋	lssw· 艹止頁 ·pin
蠙	cwfo· 虫宀一貝 ·pin
穦	xwfo· 禾宀一貝 ·pin
礗	mwfo· 石宀一貝 ·pin
砏	mhpd· 石八刀 ·pin
矉	qwfo· 目宀一貝 ·pin
貧	hpob· 八刀貝 ·pin
琕	nutn· 王白丿十 ·pin
玭	nvvb· 王匕 ·pin
汖	vks· 山水 ·pin
頻	sswy· 止頁 ·pin
顰	sswn· 止頁白丿十 ·pin
嬪	bwfo· 女宀一貝 ·pin
娦	bthb· 女 ·pin
馪	xowo· 禾日宀一貝 ·pin
驞	nwfo· 馬宀一貝 ·pin
嚬	dssw· 口止頁 ·pin
平	ehb· 干丷 ·ping
评	sehb· 讠干丷 ·ping
萍	lkeh· 艹氵干丷 ·ping
凭	jtgo· 亻㇒士几 ·ping
瓶	hlrw· 䒑廾瓦 ·ping
坪	gehb· 土干丷 ·ping
屏	chlc· 尸䒑廾 ·ping
娉	bdfa· 女由一ㄅ ·ping
苹	lehb· 艹干丷 ·ping
乒	tftp· 一丿 ·ping
枰	eehb· 木干丷 ·ping
鲆	wehb· 鱼干丷 ·ping
冯	wnm· 冫马 ·ping
俜	jdfa· 亻由一ㄅ ·ping
帡	rhlc· 巾䒑廾 ·ping
洴	khlc· 氵䒑廾 ·ping
蓱	lkhl· 艹氵䒑廾 ·ping
蘋	lssw· 艹止頁 ·ping
蚲	cehb· 虫干丷 ·ping
荓	lhlc· 艹䒑廾 ·ping
蛢	chlc· 虫䒑廾 ·ping
艵	hlxm· 䒑廾⺈巴 ·ping
胓	vehb· 月干丷 ·ping
聠	qhlc· 耳䒑廾 ·ping
缾	ahlc· 缶䒑廾 ·ping
簈	rcte· ⺮尸丿丿干 ·ping
箳	rchl· ⺮尸䒑廾 ·ping
評	sehb· 言干丷 ·ping
竮	ichl· 立尸䒑廾 ·ping
硑	mhlc· 石䒑廾 ·ping
砯	miks· 石丶水 ·ping
甹	dfae· 由一ㄅ ·ping
甁	tetr· 丿丿干瓦 ·ping
玶	nehb· 王干丷 ·ping
焩	cvvy· 火月月 ·ping
軿	yhlc· 車䒑廾 ·ping
輧	ytee· 車丿丿干 ·ping
淜	kvvy· 氵月月 ·ping
涄	kdfa· 氵由一ㄅ ·ping
泙	kehb· 氵干丷 ·ping
郱	hlte· 䒑廾阝 ·ping
檘	ecdn· 木尸口辛 ·ping
鉼	zhlc· 金䒑廾 ·ping
憑	wnhx· 冫馬心 ·ping
慿	wnlh· 冫马廾心 ·ping
幈	rchl· 巾尸䒑廾 ·ping
帲	rtee· 巾丿丿干 ·ping
頩	hlwy· 䒑廾頁 ·ping
屛	ctee· 尸丿丿干 ·ping
馮	wnm· 冫馬 ·ping
鮃	wehb· 魚干丷 ·ping
呯	dehb· 口干丷 ·ping
鵧	hlxn· 䒑廾鳥 ·ping
凴	wnoj· 冫馬几 ·ping
破	mrp· 石皮 ·po
颇	rwy· 皮页 ·po
坡	grp· 土皮 ·po
泼	ksri· 氵又丶 ·po
魄	uag· 白鬼 ·po
婆	krbn· 氵皮女 ·po
珀	nub· 王白 ·po
迫	uuc· 白辶 ·po
泊	kub· 氵白 ·po
粕	pub· 米白 ·po
陂	trp· 阝皮 ·po
鄱	tpqt· 丿米田阝 ·po
钋	zyb· 钅卜 ·po
皤	utpq· 白丿米田 ·po
钷	zndk· 钅匚口 ·po
叵	ndk· 匚口 ·po
朴	eyb· 木卜 ·po
繁	ekhi· 𠂉母攵糸 ·po
笸	rndk· ⺮匚口 ·po
攴	hp· 攴 ·po
泺	kbyx· 氵小 ·po
酦	ysri· 酉又丶 ·po
蔢	lkrb· 艹氵皮女 ·po
蒪	lnkc· 艹甫寸 ·po
謈	olhs· 日龷八言 ·po
砶	mub· 石白 ·po
皛	uuub· 白白白 ·po
猼	mnkc· 犭甫寸 ·po
烞	ceyb· 火木卜 ·po
濼	kuie· 氵白幺幺木 ·po
潑	khbr· 氵癶弓殳 ·po
湐	keub· 氵木白 ·po
淿	kurj· 氵白巾 ·po
洦	kfub· 氵一白 ·po
醱	yhbr· 酉癶弓殳 ·po
櫇	erwy· 木皮頁 ·po
釙	zyb· 金卜 ·po
鉕	zndk· 金匚口 ·po
昢	osmk· 日屮凵 ·po
敀	uhp· 白攵 ·po
搫	irus· 舟殳手 ·po
鏺	zhbr· 金癶弓殳 ·po
廹	uuy· 白廴 ·po
巿	frj· 一巾 ·po
頗	rwy· 皮頁 ·po
岶	vub· 山白 ·po
岥	vrp· 山皮 ·po
尀	ndkc· 匚口寸 ·po
馞	xonh· 禾日十冖子 ·po
奤	mbm· 大面 ·po
駊	nrp· 馬皮 ·po
髆	fnkc· 骨甫寸 ·po
嘙	dkrb· 口氵皮女 ·po
哱	dnwh· 口十冖子 ·po
剖	idpd· 立口刂 ·pou
裒	tpj· 衣臼 ·pou
掊	uidk· 扌立口 ·pou
抔	ucb· 扌不 ·pou
襃	tude· 衣口木 ·pou
箁	ridk· ⺮立口 ·pou
犃	qidk· 牜立口 ·pou
郶	iddm· 立口口巴 ·pou
棓	eidk· 木立口 ·pou
捊	uyhi· 扌爫子 ·pou
頮	klwy· 水廾頁 ·pou
婄	bidk· 女立口 ·pou
娝	bcdk· 女不口 ·pou
垺	gyhi· 土爫子 ·pou
哣	dzd· 口豆 ·pou
咅	idk· 立口 ·pou
吥	dcb· 口不 ·pou
普	hcor· 䒑业日 ·pu
浦	knf· 氵甫 ·pu
铺	znf· 钅甫 ·pu
葡	lnnf· 艹勹甫 ·pu
扑	uyb· 扌卜 ·pu
朴	eyb· 木卜 ·pu
谱	shco· 讠䒑业日 ·pu
蒲	lknf· 艹氵甫 ·pu
璞	ncgi· 王业⺶㇏ ·pu
濮	kjci· 氵亻业⺶㇏ ·pu
埔	gnf· 土甫 ·pu
溥	knkc· 氵甫寸 ·pu
圃	rnf· 囗甫 ·pu
曝	oolk· 日日龷八氺 ·pu
噗	dcgi· 口业⺶㇏ ·pu
仆	jyb· 亻卜 ·pu
脯	vnf· 月甫 ·pu
莆	lnf· 艹甫 ·pu
匍	nnf· 勹甫 ·pu
菩	lidk· 艹立口 ·pu
瀑	kolk· 氵日龷八氺 ·pu
堡	jdeg· 亻口木土 ·pu
剥	bkpd· 氺刂 ·pu
暴	olhk· 日龷八氺 ·pu
蹼	pcgi· ⻊业⺶㇏ ·pu
氆	vhco· 毛䒑业日 ·pu
镤	zcgi· 钅业⺶㇏ ·pu
镨	zhco· 钅䒑业日 ·pu
潽	khco· 氵䒑业日 ·pu
蒱	lunf· 艹扌甫 ·pu
荹	lssi· 艹止 ·pu
蜅	cnf· 虫甫 ·pu
舖	janf· 人甫 ·pu
襆	tcgi· 衤业⺶㇏ ·pu
襥	tjci· 衤亻业⺶㇏ ·pu
纀	ijci· 糹亻业⺶㇏ ·pu
穙	xcgi· 禾业⺶㇏ ·pu
諩	shcy· 言䒑业 ·pu
譜	shco· 言䒑业日 ·pu
瞨	qcgi· 目业⺶㇏ ·pu
痡	anf· 疒甫 ·pu
贌	ocgi· 貝业⺶㇏ ·pu
獛	mcgi· 犭业⺶㇏ ·pu
烳	cnf· 火甫 ·pu
炇	chp· 火攵 ·pu
酺	ynf· 酉甫 ·pu
檏	ecgh· 木业羊八 ·pu
樸	ecgi· 木业⺶㇏ ·pu
柨	enrj· 木𠂇巾 ·pu
鋪	znf· 金甫 ·pu
暜	iior· 立立日 ·pu
擈	ucgh· 扌业羊八 ·pu
撲	ucgi· 扌业⺶㇏ ·pu
鏷	zcgi· 金业⺶㇏ ·pu
鐠	zhco· 金䒑业日 ·pu
捗	ussi· 扌止 ·pu
陠	tnf· 阝甫 ·pu
巬	uohf· 工几夫 ·pu
墣	gcgi· 土业⺶㇏ ·pu
圤	gyb· 土卜 ·pu
圑	rnkc· 囗甫寸 ·pu
鯆	wnf· 魚甫 ·pu
剝	bkpd· 彑氺刂 ·pu
僕	jcgi· 亻业⺶㇏ ·pu
㞎	cmb· 尸巴 ·pa
䎬	aygk· 耒罒土厶 ·pa
䎱	aykv· 耒罒厶⺝匕 ·pa
䯲	pemb· 镸彡巴 ·pa
䶕	lmb· 齒巴 ·pa
㭛	exti· 木⺁ ·pai
㵺	krun· 氵⺮白丿十 ·pai
䃻	mttv· 石⻗革月 ·pai
䖰	cxti· 虫⺁ ·pai
䮘	nppe· 馬臼儿 ·pai
䱝	wutn· 魚白丿十 ·pai
㐴	jlx· 亻夕 ·pan
㩯	ueki· 扌𠂉母攵糸 ·pan
㳪	kcdk· 氵不口 ·pan
㵗	wnks· 冫馬水 ·pan
䃑	mirs· 石舟殳 ·pan
䃲	mira· 石舟殳皿 ·pan
䈲	rirs· ⺮舟殳 ·pan
䋣	ekis· 𠂉母糸 ·pan
䙃	tnuv· 衤𠂇工⺝ ·pan
䙪	ebbt· 木乂乂木大衣 ·pan
䰉	peir· 镸彡舟殳 ·pan
䰔	peia· 镸彡舟殳皿 ·pan
㑂	jfmj· 亻一冂人 ·pang
㜊	bclt· 女尸龷 ·pang
㝑	wlf· 宀方 ·pang
㤶	hoes· 忄尤彡 ·pang
㥬	hiwl· 忄冖方 ·pang
㫄	znlf· 亠勹方 ·pang
䂇	itag· 予丿ヿ土 ·pang
䅭	xiwl· 禾冖方 ·pang
䒍	iwlm· 冖方⺈巴 ·pang
䠙	piwl· ⻊冖方 ·pang
䨦	tiwl· ⻗冖方 ·pang
䮾	ntl· 馬龍 ·pang
㘐	dnab· 口馬六乂 ·pao
㚿	bnvs· 女勹巳 ·pao
㯡	ejkv· 木人氺勹巳 ·pao
䛌	snvs· 言勹巳 ·pao
䠙	piwl· ⻊冖方 ·pao
䩝	tyg· 革瓜 ·pao
䶌	oqlv· 自田丌勹巳 ·pao
㟝	vidk· 山立口 ·pei
㣆	bffn· 弓一王 ·pei
㤄	hfrj· 忄一巾 ·pei
㧩	uofr· 扌⺇一巾 ·pei
㨐	ujde· 扌亻口木 ·pei
㫲	onwh· 日十冖子 ·pei
㳈	kem· 氵木 ·pei
㸬	qfrj· 牜一巾 ·pei
㾦	aidk· 疒立口 ·pei
䂜	maf· 石丰 ·pei
䊃	pofr· 米⺇一巾 ·pei
䕗	loql· 艹自田丌 ·pei
䟺	pob· ⻊貝 ·pei
䡊	yxry· 車⺁又 ·pei
䣙	vvvt· 山月月阝 ·pei
䪹	cfwy· 不一頁 ·pei
䫊	cdwy· 不口頁 ·pei
䫠	ecdw· 彡不口頁 ·pei
䲹	cfxn· 不一鳥 ·pei
㾦	aidk· 疒立口 ·pen
㑟	jthb· 亻 ·peng
㔙	hlsl· 䒑廾力 ·peng
㘐	dnab· 口馬六乂 ·peng
㛔	bhaf· 女夂丰 ·peng
㥊	hvvy· 忄月月 ·peng
㮄	eznl· 木亠勹方 ·peng
㮟	emem· 木石木 ·peng
㱶	ghes· 歹彡 ·peng
㼞	ehrw· 干丷瓦 ·peng
䄘	fiwl· 礻冖方 ·peng
䋽	iggk· 糹土土寸 ·peng
䡫	yhau· 車夂丰辶 ·peng
䰃	pehc· 镸彡䒑业 ·peng
䴶	ejja· 木人人夂夂丰 ·peng
䵄	ejjz· 木人人夂曲豆 ·peng
㔃	ixmp· 糹⺈巴刀 ·pi
㔥	ykvs· 罒厶⺝匕力 ·pi
㡙	rtrv· 巾丿囗乂匕 ·pi
㨽	ufdp· 扌一口田刂 ·pi
㮰	etrv· 木丿囗乂匕 ·pi
㯅	exun· 木广白丿十 ·pi
㱟	grp· 歹皮 ·pi
㳪	kcdk· 氵不口 ·pi
㵨	cdnk· 尸口辛水 ·pi
㼰	utnr· 白丿十瓦 ·pi
㿙	ayym· 疒罒罒罒大 ·pi
䏘	vnpe· 月匸儿 ·pi
䑀	vcdn· 月尸口辛 ·pi
䑄	voql· 月自田丌 ·pi
䖩	chtp· 虫心丿 ·pi
䗄	chbt· 虫八乂斤 ·pi
䚰	svb· 言匕 ·pi
䚹	svvb· 言匕 ·pi
䠘	ptrv· ⻊丿囗乂匕 ·pi
䡟	yutn· 車白丿十 ·pi
䡶	ycdn· 車尸口辛 ·pi
䤏	yrus· 酉手 ·pi
䤨	zxti· 金⺁ ·pi
䪐	ghtp· 韋心丿 ·pi
䫌	utnw· 白丿十頁 ·pi
䰦	autn· 鬼白丿十 ·pi
䴙	cdnx· 尸口辛鸟 ·pi
䴽	ejjn· 木人人夂白丿十 ·pi
㓲	mipd· 户刂 ·pian
㛹	bjfb· 女亻一日 ·pian
㸤	nanx· 片辛 ·pian
㼐	miyg· 户瓜 ·pian
䏒	vap· 月片 ·pian
䮁	nklc· 馬厶廾 ·pian
㩠	uxch· 扌鹿灬 ·piao
㬓	ovfs· 日覀示 ·piao
㯱	ndwe· 十口冖缶木 ·piao
㲏	avm· 片毛 ·piao
㵱	kvfk· 氵覀示寸 ·piao
㹾	mhyd· 犭夂卜口 ·piao
㺓	maob· 犭龶貝 ·piao
㼼	vfrw· 覀示瓦 ·piao
䏇	qvfs· 耳覀示 ·piao
䕯	lvfy· 艹覀示瓜 ·piao
䴩	xvfs· 鹿覀示 ·piao
䥕	zfhp· 金㡀攵 ·pie
㰋	essw· 木止頁 ·pin
㲏	avm· 片毛 ·pin
㻞	nmic· 王户 ·pin
䀻	qdfa· 目由一ㄅ ·pin
㲏	avm· 片毛 ·ping
㵗	wnks· 冫馬水 ·ping
㺸	joii· 亻几丶王丶 ·ping
㻂	nhlc· 王䒑廾 ·ping
䈂	rhlc· ⺮䒑廾 ·ping
䍈	aehb· 缶干丷 ·ping
䓑	lkfl· 艹氵一廾 ·ping
䶄	pehb· 鼠干丷 ·ping
㛘	bnwh· 女十冖子 ·po
㜑	knbn· 氵甫女 ·po
㨇	krus· 氵皮手 ·po
㩯	ueki· 扌𠂉母攵糸 ·po
㰴	ideq· 立口欠 ·po
䄸	xub· 禾白 ·po
䎅	uzv· 白羽 ·po
䎊	szv· 各羽 ·po
䘠	tnbi· 衤𠂇乂 ·po
䞟	pub· 走白 ·po
䣪	yfrj· 酉一巾 ·po
䣮	ynri· 酉𠂇又丶 ·po
䦌	agt· 門土 ·po
䨰	tktg· ⻗氵革 ·po
䪖	geoh· 韋𠂉日夊 ·po
䪙	gnkc· 韋甫寸 ·po
䮘	nppe· 馬臼儿 ·po
䯙	fnf· 骨甫 ·po
㕻	icdk· 丶不口 ·pou
㟝	vidk· 山立口 ·pou
㧵	ucdk· 扌不口 ·pou
㰴	ideq· 立口欠 ·pou
㼜	mmrw· 大瓦 ·pou
䎧	aidk· 耒立口 ·pou
䯽	peid· 镸彡立口 ·pou
䳝	idxn· 立口鳥 ·pou
㒒	jcgh· 亻业羊八 ·pu
㙸	gjci· 土亻业⺶㇏ ·pu
㬥	osmp· 日屮凵大米 ·pu
㯷	ejci· 木亻业⺶㇏ ·pu
㲫	cgiv· 业⺶丶毛 ·pu
㹒	qcgi· 牜业⺶㇏ ·pu
㺪	nyb· 王卜 ·pu
䈬	rknf· ⺮氵甫 ·pu
䈻	rvnf· ⺮月甫 ·pu
䑑	qcgi· 臣业⺶㇏ ·pu
䔕	lvnf· 艹月甫 ·pu
䗱	ccgi· 虫业⺶㇏ ·pu
䧤	tcgi· 阝业⺶㇏ ·pu
䪬	xnwh· 音十冖子 ·pu
䲕	whco· 魚䒑业日 ·pu
䴆	cgix· 业⺶丶鳥 ·pu
其	zhb·  ·qi
起	pvj· 走己 ·qi
七	rq· 七 ·qi
期	zhvy· 月 ·qi
奇	mzk· 大可 ·qi
气	vq· 气 ·qi
齐	qq· 齐 ·qi
棋	ezhb· 木 ·qi
器	ddmd· 口口犬口口 ·qi
启	mdk· 户口 ·qi
旗	lezh· 方𠂉 ·qi
骑	nmzk· 马大可 ·qi
汽	kvq· 氵气 ·qi
企	jsi· 人止 ·qi
琦	nmzk· 王大可 ·qi
妻	fbbn· 一女 ·qi
戚	nyfy· 戊⺊一小 ·qi
弃	blc· 廾 ·qi
祺	fzhb· 礻 ·qi
砌	mrpd· 石七刀 ·qi
琪	nzhb· 王 ·qi
祁	fte· 礻阝 ·qi
漆	kejk· 氵木人氺 ·qi
岐	vci· 山支 ·qi
崎	vmzk· 山大可 ·qi
淇	kzhb· 氵 ·qi
契	apmd· 丰刀大 ·qi
栖	evx· 木西 ·qi
欺	zheq· 欠 ·qi
泣	kil· 氵立 ·qi
脐	vqq· 月齐 ·qi
绮	imzk· 纟大可 ·qi
岂	vvj· 山己 ·qi
歧	sci· 止支 ·qi
祈	ftj· 礻斤 ·qi
圻	gtj· 土斤 ·qi
畦	qggt· 田土土 ·qi
麒	xzhb· 鹿 ·qi
屺	vvj· 山己 ·qi
迄	eauc· 𠂉乙辶 ·qi
乞	eai· 𠂉乙 ·qi
杞	evj· 木己 ·qi
耆	qor· 老日 ·qi
沏	krpd· 氵七刀 ·qi
凄	wfbb· 冫一女 ·qi
蕲	lhqt· 艹丷田十斤 ·qi
荠	lqq· 艹齐 ·qi
亓	mpd· 二 ·qi
綦	zhis· 糸 ·qi
芪	lbs· 艹氏 ·qi
憩	aohx· 舌自心 ·qi
嘁	dnyy· 口戊⺊一小 ·qi
鳍	wqor· 鱼老日 ·qi
碛	maob· 石龶贝 ·qi
骐	nzhb· 马 ·qi
柒	krem· 氵七木 ·qi
欹	mzeq· 大可欠 ·qi
讫	seai· 讠𠂉乙 ·qi
颀	twy· 斤页 ·qi
萁	lzhb· 艹 ·qi
萋	lfbb· 艹一女 ·qi
蹊	pyim· ⻊爫幺大 ·qi
葺	ldqe· 艹口耳 ·qi
桤	evvj· 木山己 ·qi
稽	xovo· 禾尤匕日 ·qi
缉	idqe· 纟口耳 ·qi
槭	enyy· 木戊⺊一小 ·qi
蛴	cqq· 虫齐 ·qi
蜞	czhb· 虫 ·qi
綮	mhis· 户攵糸 ·qi
芑	lvj· 艹己 ·qi
汔	keai· 氵𠂉乙 ·qi
俟	jkos· 亻厶矢 ·qi
锜	zmzk· 钅大可 ·qi
埼	gmzk· 土大可 ·qi
棨	mhem· 户攵木 ·qi
碶	mapm· 石丰刀大 ·qi
鲯	wzhb· 鱼 ·qi
藄	lzhi· 艹糸 ·qi
薺	lqq· 艹齊 ·qi
蘄	lddt· 艹口口田十斤 ·qi
萕	lqq· 艹斉 ·qi
蚑	cci· 虫支 ·qi
蚔	cbs· 虫氏 ·qi
蚚	ctj· 虫斤 ·qi
荎	lyi· 艹至 ·qi
蜝	zhcc· 虫 ·qi
芞	lvq· 艹气 ·qi
螇	cyim· 虫爫幺大 ·qi
艩	iqq· 舟齊 ·qi
舙	aaas· 舌舌舌 ·qi
臍	vqq· 月齊 ·qi
蟿	ymrc· 車凵殳虫 ·qi
蠐	cqq· 虫齊 ·qi
肵	vtj· 月斤 ·qi
肐	veai· 月𠂉乙 ·qi
袳	tllx· 衤夕夕 ·qi
裿	tmzk· 衤大可 ·qi
褀	tzhb· 衤 ·qi
罊	ymra· 車凵殳缶 ·qi
纃	iqq· 糹齊 ·qi
緝	idqe· 糹口耳 ·qi
緀	ifbb· 糹一女 ·qi
綺	imzk· 糹大可 ·qi
綨	izhb· 糹 ·qi
綥	iqlc· 糹田丌 ·qi
觭	xtmz· ⺈用大可 ·qi
紪	isvb· 糹匕 ·qi
粸	pzhb· 米 ·qi
訖	seai· 言𠂉乙 ·qi
竒	izk· 可 ·qi
稘	xzhb· 禾 ·qi
諆	szhb· 言 ·qi
禥	fzhg· 礻土 ·qi
諬	xosy· 禾尤言 ·qi
祇	fbs· 礻氏 ·qi
礘	moic· 石日幺幺灬 ·qi
磩	mnyy· 石戊⺊一小 ·qi
磧	maob· 石龶貝 ·qi
磜	mhfs· 石示 ·qi
碕	mmzk· 石大可 ·qi
碁	zhms· 石 ·qi
矵	mpd· 石刂 ·qi
豈	vzd· 山豆 ·qi
盵	qeai· 目𠂉乙 ·qi
盀	yam· 卜皿 ·qi
疧	abs· 疒氏 ·qi
甈	oerw· 自木瓦 ·qi
璂	nzhg· 王土 ·qi
趞	plor· 走龷日 ·qi
跂	pci· ⻊支 ·qi
玘	nvj· 王己 ·qi
玂	mldt· 犭艹口口田十斤 ·qi
猉	mzhb· 犭 ·qi
踑	pzhb· ⻊ ·qi
踖	plor· ⻊龷日 ·qi
踦	pmzk· ⻊大可 ·qi
躤	plao· ⻊艹耒龷日 ·qi
躩	pqqr· ⻊目目隹又 ·qi
焏	rdrc· 了口又灬 ·qi
軙	yhp· 車攴 ·qi
軝	ybs· 車氏 ·qi
炁	dch· 旡灬 ·qi
濝	kzhi· 氵糸 ·qi
湇	kivy· 氵立⺝ ·qi
湆	kxy· 氵音 ·qi
迉	cuc· 尸辶 ·qi
淒	kfbb· 氵一女 ·qi
洓	kemk· 氵木冂 ·qi
邔	vte· 己阝 ·qi
郪	fbbt· 一女阝 ·qi
鄿	lddt· 艹口口田十阝 ·qi
氣	vpm· 气米 ·qi
欫	aeq· 欠 ·qi
櫀	ezhi· 木糸 ·qi
檱	erzh· 木⺮ ·qi
釮	zntp· 金丿 ·qi
榿	evzd· 木山豆 ·qi
棲	efbb· 木一女 ·qi
棊	zhem· 木 ·qi
棄	blem· 廿木 ·qi
梩	edl· 木里 ·qi
桼	ejks· 木人氺 ·qi
栔	apem· 丰刀木 ·qi
朞	zhvy· ⺝ ·qi
暣	ovpm· 日气米 ·qi
晵	mhor· 户攵日 ·qi
錡	zmzk· 金大可 ·qi
旂	letj· 方𠂉斤 ·qi
斊	vqe· 文耳 ·qi
斉	qq· 斉 ·qi
敧	mzhp· 大可攴 ·qi
攲	mzci· 大可支 ·qi
摖	uhfs· 扌示 ·qi
鏚	znyy· 金戊⺊一小 ·qi
掑	uzhb· 扌 ·qi
鐖	ziii· 金幺幺丶 ·qi
捿	ufbb· 扌一女 ·qi
扢	ueai· 扌𠂉乙 ·qi
懠	hqq· 忄齊 ·qi
憇	azhx· 舌甘心 ·qi
慽	hnyy· 忄戊⺊一小 ·qi
慼	nyfh· 戊⺊一小心 ·qi
闙	amhd· 門户攵口 ·qi
愭	hqor· 忄老日 ·qi
愒	honf· 忄曰勹亾 ·qi
悽	hfbb· 忄一女 ·qi
忯	hbs· 忄氏 ·qi
忔	heai· 忄𠂉乙 ·qi
霋	tfbb· ⻗一女 ·qi
庈	xjae· 广亽 ·qi
嵜	vizk· 山可 ·qi
頎	twy· 斤頁 ·qi
岓	vtj· 山斤 ·qi
婍	bmzk· 女大可 ·qi
娸	bzhb· 女 ·qi
夡	llgd· 夕夕士口 ·qi
騎	nmzk· 馬大可 ·qi
騏	nzhb· 馬 ·qi
騹	nlda· 馬廿口龶 ·qi
鬐	peqo· 镸彡老日 ·qi
噐	ddud· 口口工口口 ·qi
鬾	aci· 鬼支 ·qi
鬿	atj· 鬼斤 ·qi
魌	azhb· 鬼 ·qi
魕	aiii· 鬼幺幺丶 ·qi
啟	mdhp· 户口攵 ·qi
啔	mpdk· 户戈口 ·qi
啓	mhdk· 户攵口 ·qi
唭	dzhb· 口 ·qi
鮨	wvor· 魚匕日 ·qi
唘	mrdk· 石又口 ·qi
鯕	wzhb· 魚 ·qi
咠	dqe· 口耳 ·qi
鰭	wqor· 魚老日 ·qi
呮	ddhb· 口口八 ·qi
呇	kdk· 水口 ·qi
鵸	mzxn· 大可鳥 ·qi
鶀	xzhb· 鳥 ·qi
鶈	fbbx· 一女鳥 ·qi
剘	zhpd· 刂 ·qi
僛	jzhe· 亻欠 ·qi
傶	jnyy· 亻戊⺊一小 ·qi
麡	xqq· 鹿齊 ·qi
倛	jzhb· 亻 ·qi
鼜	hcrc· 支又丶虫 ·qi
齊	qq· 齊 ·qi
亝	kkkm· 厶厶厶二 ·qi
恰	hjdk· 忄亼口 ·qia
卡	yfyb· ⺊一卜 ·qia
洽	kjdk· 氵亼口 ·qia
掐	uxpj· 扌⺈臼 ·qia
髂	fwsg· 骨宀各 ·qia
葜	lapm· 艹丰刀大 ·qia
袷	tjdk· 衤亼口 ·qia
拤	uyfy· 扌⺊一卜 ·qia
矻	meai· 石𠂉乙 ·qia
磍	mwad· 石宀丰口 ·qia
硈	mgdk· 石士口 ·qia
跒	pzk· ⻊可 ·qia
酠	yzk· 酉可 ·qia
殎	gmjj· 歹大人人 ·qia
楬	eonf· 木曰勹亾 ·qia
擖	ulof· 扌艹曰勹亾 ·qia
揢	uwsg· 扌宀各 ·qia
愘	hwsg· 忄宀各 ·qia
帢	rjdk· 巾亼口 ·qia
峠	vyfy· 山⺊一一卜 ·qia
圶	mgt· 大土 ·qia
冾	wjdk· 冫亼口 ·qia
價	jvob· 亻覀貝 ·qia
前	hvpd· 䒑⺝刂 ·qian
钱	zfpg· 钅一戈 ·qian
千	lq· 千 ·qian
欠	eq· 欠 ·qian
签	rjkf· ⺮亼⺍一 ·qian
迁	luc· 千辶 ·qian
乾	nona· 十日十𠂉乙 ·qian
谦	shbc· 讠䒑 ·qian
黔	pjae· 亽 ·qian
牵	mwqn· 大冖牛 ·qian
浅	kfpg· 氵一戈 ·qian
铅	zodk· 钅几口 ·qian
潜	khho· 氵夫夫曰 ·qian
倩	javy· 亻龶⺝ ·qian
茜	lvx· 艹西 ·qian
嵌	vzeq· 山甘欠 ·qian
遣	ckuc· 㠯辶 ·qian
骞	wqhn· 宀马 ·qian
歉	hbce· 䒑欠 ·qian
钎	zlq· 钅千 ·qian
钳	zzg· 钅甘 ·qian
芊	llq· 艹千 ·qian
仟	jlq· 亻千 ·qian
阡	tlq· 阝千 ·qian
虔	zvw· 虍文 ·qian
钤	zjae· 钅亽 ·qian
堑	ytgt· 斤土 ·qian
纤	ilq· 纟千 ·qian
掮	umvy· 扌户⺝ ·qian
谴	scku· 讠㠯辶 ·qian
扦	ulq· 扌千 ·qian
芡	leq· 艹欠 ·qian
愆	pkhx· 行氵心 ·qian
椠	ytem· 斤木 ·qian
悭	hprg· 忄〢又土 ·qian
佥	jkfi· 亼⺍一 ·qian
